,Min,Max,Average
01-01,0.023946527585627996,1.1963033844585007,0.4038839541042835
01-02,0.020095632463768453,1.0039231384707614,0.33893446432560753
01-03,0.021169333638211,1.057562328716181,0.3570435899309639
01-04,0.0170133856913131,0.8499424733225651,0.28694905602233567
01-05,0.016693333514261156,0.833953537087804,0.28155103168142853
01-06,0.01884732840953566,0.9415612632647619,0.3178804732805536
01-07,0.02038212065368564,1.0182353092011438,0.34376639590876434
01-08,0.02060051773380171,1.029145833291305,0.34744989765934997
01-09,0.020766939691629176,1.037459821642447,0.3502567830475043
01-10,0.019611890497044187,0.9797567055744876,0.3307756355522852
01-11,0.018679663988165382,0.9331852048144788,0.31505263240786374
01-12,0.02588429913396187,1.2931091803422639,0.43656655630175534
01-13,0.02494975536776042,1.2464219157092749,0.42080447011922745
01-14,0.020527682265834717,1.0255071714216057,0.34622144912139996
01-15,0.027595831263793034,1.3786126702409556,0.46543338727342454
01-16,0.024451585520480632,1.2215347051437786,0.41240229961599156
01-17,0.018936358311152167,0.9460089549912966,0.3193820583671517
01-18,0.018789846482457434,0.9386896225367697,0.31691097873004426
01-19,0.013784987859596226,0.6886604987794448,0.23249865284663399
01-20,0.010789604539861108,0.5390192954635911,0.1819782901382339
01-21,0.015461509266351887,0.7724149481812296,0.26077499030222984
01-22,0.013633348515522718,0.6810850096032571,0.2299410921454764
01-23,0.014601790461568825,0.7294657350994189,0.24627490760539714
01-24,0.01746975923659445,0.8727416543247023,0.2946462869197058
01-25,0.022561312285854746,1.1271017958191107,0.38052080758720996
01-26,0.021477371306378397,1.072951052766115,0.36223897665196725
01-27,0.027268328232385678,1.362251509588662,0.4599096962567224
01-28,0.0254788667553547,1.2728548814689729,0.42972850299284704
01-29,0.023002308899272624,1.149132787130067,0.3879586899831824
01-30,0.018516358930886788,0.9250269283368977,0.31229831690123927
01-31,0.02493868863488141,1.2458690518357667,0.4206178177614604
02-01,0.025673905569411556,1.2825984901204845,0.4330180424529385
02-02,0.02365451549627656,1.181715254737197,0.39895885601347325
02-03,0.02276131774255539,1.1370935244280114,0.3838941148195775
02-04,0.023875024365907896,1.1927312780875474,0.4026779753665114
02-05,0.02041956635629506,1.020105994652506,0.3443979579747059
02-06,0.018164986073301498,0.9074732960938489,0.30637203558220405
02-07,0.015699303431537744,0.7842944978820829,0.26478564476370725
02-08,0.020017605313369977,1.0000251142679801,0.33761845247721994
02-09,0.02047284536200547,1.0227676688607616,0.3452965657340196
02-10,0.014957708833758614,0.7472464488884675,0.25227785391919366
02-11,0.018016628341646437,0.9000617473482155,0.3038698228054861
02-12,0.018899371188885534,0.9441611789665377,0.318758230752122
02-13,0.02546410929209318,1.2721176387442126,0.4294796024959671
02-14,0.018648116758240477,0.9316091910147951,0.3145205544304807
02-15,0.020113437510393937,1.004812630171065,0.3392347655951088
02-16,0.01705719243952022,0.8521309393101663,0.2876879039667433
02-17,0.013878210169587468,0.6933176318251768,0.2340709474114875
02-18,0.015085199326533795,0.7536155271378236,0.25442811825913275
02-19,0.01478154412036609,0.7384457389692505,0.24930664647526668
02-20,0.02076463268011957,1.037344569622418,0.3502178728160592
02-21,0.017499616276001672,0.8742332308033818,0.2951498580153695
02-22,0.01907951994254529,0.9531609207010551,0.32179663332196806
02-23,0.024118088296468103,1.2048740909329254,0.4067775100912748
02-24,0.021004176073623707,1.0493115060122127,0.35425802989528743
02-25,0.020864754756792614,1.0423463962444484,0.35190653937012406
02-26,0.022121621818506593,1.1051360560131263,0.3731049547501117
02-27,0.016747279885346147,0.8366485510549633,0.2824608952758672
02-28,0.01653367315685258,0.8259773399022727,0.27885818795979517
03-01,0.015373778493985149,0.7680321574184271,0.2592953164282872
03-02,0.020319959773944157,1.0151299207246833,0.3427179857870539
03-03,0.015946184789896917,0.7966280190370271,0.268949564515838
03-04,0.014959898297631818,0.7473558285483073,0.25231478158327003
03-05,0.014318791893827872,0.7153278964013107,0.2415018322550627
03-06,0.016262926424261765,0.8124515695637013,0.2742917529921959
03-07,0.01808561172926632,0.9035079697612975,0.30503330186355826
03-08,0.02077582394962051,1.0379036550068224,0.350406625617956
03-09,0.020019752936875714,1.0001324036968655,0.3376546744584789
03-10,0.01946238841972581,0.9722879884320953,0.3282541221546438
03-11,0.017466277306672662,0.8725677065765377,0.2945875604250315
03-12,0.015522524533637495,0.7754631049754206,0.26180407843719733
03-13,0.013862985942536292,0.6925570708510664,0.23381417444105898
03-14,0.02042316695943506,1.0202858709918654,0.3444586860208973
03-15,0.02151210479742057,1.0746862435046982,0.36282479435149784
03-16,0.018341597694807962,0.9162963323268639,0.3093507806123441
03-17,0.020495206049458346,1.0238847479856177,0.3456737027879271
03-18,0.020270633305561815,1.0126657045305745,0.3418860418226932
03-19,0.02023586789824704,1.010928919341823,0.3412996858208834
03-20,0.018304061028164197,0.9144211025597648,0.30871768434008634
03-21,0.01862124672510855,0.9302668372450765,0.3140673624096572
03-22,0.022469729225647828,1.1225265552339012,0.3789761607337956
03-23,0.019196740276361098,0.9590169297432749,0.32377368038040527
03-24,0.015600399692761922,0.7793535361075614,0.263117526789206
03-25,0.012842736146309347,0.6415881660754148,0.21660656384278854
03-26,0.014678438228131488,0.733294849037639,0.24756765466118194
03-27,0.013542354042856194,0.6765391732506282,0.22840637245424872
03-28,0.014017522881414446,0.7002773159823376,0.23642060619639793
03-29,0.014748052269799267,0.736772577211597,0.2487417703783533
03-30,0.01762810855064413,0.8806523553500153,0.2973170184844137
03-31,0.021982548794331442,1.0981883459991089,0.3707593385553523
04-01,0.019507608280700132,0.9745470496899283,0.32901680376637427
04-02,0.01593648464880226,0.7961434263719832,0.26878596119896164
04-03,0.014911583051465744,0.744942130265634,0.25149989296965797
04-04,0.017984189250030765,0.898441178564294,0.3033227026210485
04-05,0.020327028629199197,1.0154830615061854,0.34283720963699155
04-06,0.01912012156968541,0.9551892675579663,0.32248142345088265
04-07,0.010074840076741833,0.5033116070205517,0.16992301838388166
04-08,0.012153868544677468,0.6071742143937261,0.20498807052234577
04-09,0.011617054758042889,0.5803564577282313,0.19593412840115945
04-10,0.010963005107290473,0.5476819161688691,0.18490287728628163
04-11,0.014763736203890605,0.7375561038990467,0.24900629680265718
04-12,0.01812710258178456,0.9055807398994378,0.305733089735278
04-13,0.016663673191004605,0.8324717880129511,0.28105077841531173
04-14,0.01682374013688313,0.8404682972525347,0.2837504796889785
04-15,0.016978554909308694,0.8482024221921368,0.28636159740604233
04-16,0.015172133849102773,0.7579585394265017,0.2558943625234744
04-17,0.016903795456727842,0.8444676432842999,0.2851006987973794
04-18,0.01426167754722017,0.7124746189938198,0.24053853734470393
04-19,0.008219001812626893,0.4105989751606924,0.13862230918466456
04-20,0.011778786799098157,0.5884361505938441,0.19866191329661803
04-21,0.010952307397333317,0.5471474876768073,0.18472244889715894
04-22,0.012525940361957278,0.625761910362665,0.211263462068631
04-23,0.012503778830131788,0.6246547805112569,0.2108896839886701
04-24,0.012637048373343963,0.6313125644016296,0.2131374182324654
04-25,0.015648166110512406,0.781739816415386,0.2639231588210519
04-26,0.017034995796333306,0.8510220553906429,0.2873135336958923
04-27,0.013124216694628803,0.6556501686521851,0.22135403616219634
04-28,0.013995916570290916,0.6991979234470184,0.23605619251099097
04-29,0.013832010849293506,0.6910096394438298,0.23329174616443682
04-30,0.015354661516419907,0.7670771252167796,0.2589728880318542
05-01,0.013980759975493149,0.6984407411963309,0.23580056023128823
05-02,0.01547307139255145,0.7729925605575799,0.2609699980013893
05-03,0.01563301108086049,0.7809827123551282,0.263667552939218
05-04,0.01537135543126532,0.7679111077955906,0.259254448868311
05-05,0.015153059668750463,0.7570056452572054,0.25557265594808715
05-06,0.012753019054097347,0.6371061441758636,0.21509338854738294
05-07,0.012185234130256397,0.6087411537359511,0.20551708487238526
05-08,0.01639812026429478,0.8192054860892231,0.2765719425724107
05-09,0.01495983751729796,0.7473527921281482,0.2523137564575401
05-10,0.014249089364974139,0.7118457476482245,0.24032622410628834
05-11,0.01601472360105622,0.8000520316193708,0.2701055453135399
05-12,0.013079283326264277,0.6534054197858874,0.22059618655659502
05-13,0.011936276366519984,0.5963039010161104,0.2013181443093631
05-14,0.013033443889943114,0.6511154062289495,0.21982305513997935
05-15,0.014489154120421397,0.7238387298626112,0.24437517451567078
05-16,0.015938145381934343,0.7962263920821259,0.26881397125017675
05-17,0.01083426653797189,0.5412504874101293,0.18273156279251246
05-18,0.010669111242161152,0.5329997780480666,0.17994604102219378
05-19,0.009066346839348134,0.45293002794677906,0.1529136948003465
05-20,0.01060538780335626,0.5298163283709043,0.17887127666057134
05-21,0.011130664052809817,0.5560577010605338,0.18773062580285352
05-22,0.014978205028050615,0.7482703830063625,0.2526235442897554
05-23,0.015223109692819757,0.760505153926086,0.25675412497757544
05-24,0.014534851535375953,0.7261216484183667,0.2451459105891242
05-25,0.008882019408685287,0.443721530875043,0.14980481434660278
05-26,0.014206300538273065,0.7097081342503544,0.23960454450335983
05-27,0.015260665237206265,0.7623813267738657,0.25738753964327693
05-28,0.013413687531552377,0.6701113443143107,0.22623627329643273
05-29,0.01442954583833924,0.720860862222234,0.24336981670007024
05-30,0.012132571811753505,0.6061102875432153,0.20462887820637943
05-31,0.010397521885675352,0.5194319125116093,0.17536539429594544
06-01,0.011862696713953277,0.5926280617079653,0.2000771442973991
06-02,0.010794047581995082,0.5392412577636847,0.1820532268245198
06-03,0.008483524148392938,0.42381379156404064,0.14308376300238682
06-04,0.00866527274654456,0.4328934571778504,0.14614914867101475
06-05,0.011064436804051121,0.552749167848355,0.18661363199227016
06-06,0.01202982834926144,0.6009775036157448,0.20289599915987563
06-07,0.01248127974759542,0.6235307875444592,0.21051021275276693
06-08,0.011657843687732285,0.5823941617110481,0.19662207758910447
06-09,0.009915462914264381,0.495349557483499,0.16723495104947836
06-10,0.010027759574743304,0.5009595931980279,0.16912895505923525
06-11,0.013176413701750322,0.658257789153938,0.222234394851082
06-12,0.012825525502184076,0.6407283691072677,0.21631628781102819
06-13,0.012452113119823562,0.6220737021531871,0.21001828619221394
06-14,0.012207293932668891,0.6098432014625864,0.20588914717633552
06-15,0.01234776356780145,0.6168606823613029,0.20825831871763964
06-16,0.010962324863786312,0.5476479330536399,0.18489140424764455
06-17,0.013658680423155779,0.6823505228067,0.23036834202474432
06-18,0.011264565172083093,0.5627470367730544,0.18998901225649273
06-19,0.010114623320065155,0.5052990696479511,0.17059400558914808
06-20,0.008680401120338513,0.4336492295839474,0.14640430497312246
06-21,0.011038875486546806,0.5514721939517313,0.18618251286867943
06-22,0.011636821685038254,0.5813439596355681,0.19626751889407462
06-23,0.013230143827734447,0.660942000104037,0.22314061123921564
06-24,0.00887482852342243,0.4433622938062676,0.14968353232927947
06-25,0.007434920246240541,0.3714283927785321,0.1253979298987734
06-26,0.007316795122557022,0.3655271828955182,0.12340562258566674
06-27,0.00995491601247938,0.49732052695926976,0.16790037000225802
06-28,0.01215921993562484,0.6074415553298602,0.20507832748874952
06-29,0.00937536448219208,0.4683677088660566,0.15812560984871887
06-30,0.011739964534405133,0.586496695844986,0.19800713402996092
07-01,0.013695651517483325,0.6841974981192177,0.23099189931133535
07-02,0.012641179806635872,0.631518959571539,0.21320709930033996
07-03,0.010697738325429373,0.5344299092634793,0.18042886758414511
07-04,0.015077951098770864,0.7532534253937142,0.2543058690988454
07-05,0.00983639123799372,0.4913993516092172,0.16590132214835052
07-06,0.009538273020938442,0.4765061763562838,0.16087323764364478
07-07,0.011994559297025899,0.5992155576966486,0.20230114864455706
07-08,0.00944522814752394,0.4718579075593043,0.15930393573757903
07-09,0.009137975622779128,0.45650840713919993,0.15412179130520895
07-10,0.008300939994368503,0.414692383851508,0.14000428478490895
07-11,0.008061335982963819,0.4027224191562805,0.13596310531956335
07-12,0.007083086235542414,0.35385172258028635,0.11946387073629122
07-13,0.007394407101685823,0.369404466270918,0.12471463212386853
07-14,0.010928333393551707,0.5459498116563319,0.18431810152744516
07-15,0.010838086159745092,0.5414413053246805,0.18279598482361603
07-16,0.012349740074765607,0.6169594232732022,0.20829165463430413
07-17,0.013178818193248199,0.658377911009039,0.22227494918741741
07-18,0.014494142866326212,0.724087954038801,0.24445931508322713
07-19,0.010820913513869886,0.5405834066457527,0.18250634967322896
07-20,0.008222155504997919,0.41075652505361565,0.13867549959986292
07-21,0.010034638855908249,0.5013032633736237,0.16924498153816242
07-22,0.008977932600881833,0.44851309307664633,0.1514224935352278
07-23,0.008267811273780743,0.4130373630799075,0.13944553326581893
07-24,0.008198004419422438,0.40955000250837464,0.13826816555515614
07-25,0.00724369760791777,0.36187542988683047,0.12217275434862784
07-26,0.008753002022460363,0.43727617318203454,0.14762879730570222
07-27,0.009248678105560371,0.4620388020720604,0.15598890779276534
07-28,0.01311721887560091,0.6553005766473751,0.22123601041466423
07-29,0.011920933342270849,0.5955374052571143,0.20105936769636568
07-30,0.0114179287426234,0.5704086636136876,0.19257565389227402
07-31,0.011947957873039837,0.5968874773085521,0.20151516548607704
08-01,0.008368140772991917,0.41804955196776067,0.1411376982241752
08-02,0.008940850599865111,0.44666057716759977,0.15079706568798862
08-03,0.012463656457093198,0.6226503758857036,0.2102129769958534
08-04,0.013028264633725094,0.6508566646756934,0.21973570141100243
08-05,0.01024505857880328,0.5118152603951553,0.1727939365756092
08-06,0.009390580205120942,0.46912784499734705,0.15838223938797416
08-07,0.007865869777045295,0.39295745916985086,0.1326663574358528
08-08,0.009149427632745098,0.4570805184080323,0.15431494177560423
08-09,0.015121170651734387,0.7554125567040958,0.2550348133636499
08-10,0.014989358898554043,0.7488276000385752,0.252811666317318
08-11,0.016639544309035834,0.8312663746995084,0.2806438188583231
08-12,0.013277923728382348,0.6633289539807435,0.22394647067463397
08-13,0.010467631392724854,0.5229343927883895,0.1765478665698984
08-14,0.009164373829788007,0.4578271897591616,0.1545670254707841
08-15,0.01273597521956259,0.6362546805611424,0.2148059259388531
08-16,0.015359859590169367,0.7673368068427233,0.2590605591387464
08-17,0.017189014561857997,0.8587164139905884,0.2899112259000725
08-18,0.016904531441417684,0.8445044110775516,0.2851131119710903
08-19,0.01588688673420603,0.7936656494633525,0.2679494390021286
08-20,0.011990905777768611,0.5990330378119993,0.20223952811111007
08-21,0.01370566775244769,0.6846978819742278,0.23116083389144013
08-22,0.010368149914589559,0.5179645687268994,0.17487000439945427
08-23,0.013363441216271423,0.6676011750710986,0.22538881512437517
08-24,0.012010799493037006,0.600026873716597,0.20257505702467357
08-25,0.009421867868200852,0.4706908915434675,0.1589099394912234
08-26,0.011395292979403527,0.5692778424517088,0.19219387738957566
08-27,0.011526058000703077,0.5758105072395392,0.1943993701764585
08-28,0.01636924061790781,0.8177627375073605,0.2760848562617047
08-29,0.019073543459166602,0.9528623518472821,0.32169583349911307
08-30,0.012880457238676596,0.6434726092500275,0.2172427706533142
08-31,0.008805415845479512,0.43989462521630146,0.14851281282799453
09-01,0.008729868887943207,0.43612050470287617,0.14723863210090557
09-02,0.010508318136063797,0.5249669918190808,0.17723409227509085
09-03,0.010332253294861898,0.5161712712428587,0.1742645692831209
09-04,0.011957368742018692,0.5973576187255005,0.2016738899174647
09-05,0.014908306368527281,0.7447784360984917,0.2514446281862024
09-06,0.02105392217311561,1.0517966858351733,0.3550970513898324
09-07,0.017191333488513004,0.858832261258873,0.2899503370932655
09-08,0.010110367141330292,0.505086442535015,0.17052222055515245
09-09,0.009207345014951431,0.459973913289802,0.15529178074539718
09-10,0.018634904604982936,0.9309491477746441,0.31429771724956557
09-11,0.021639269072658337,1.0810390248131854,0.3649695566816596
09-12,0.017929333355596603,0.895700727284482,0.30239749893668244
09-13,0.017453484627057307,0.8719286190985968,0.2943717981184439
09-14,0.020164466970404766,1.0073619231948554,0.34009543234569645
09-15,0.016663993961175096,0.8324878128181853,0.2810561885493846
09-16,0.017254950523542045,0.8620103952928083,0.29102330684071814
09-17,0.014175612962105748,0.7081750664141717,0.2390869655115827
09-18,0.010877374954359075,0.5434040666394445,0.1834586326193745
09-19,0.011646254375463534,0.5818151911926261,0.196426611367636
09-20,0.013952296479750608,0.6970187823687488,0.23532049274897704
09-21,0.01748982933689101,0.873744301945546,0.2949847907565589
09-22,0.01362484308831281,0.6806601015943153,0.22979763896377395
09-23,0.014138073221399372,0.706299683075266,0.23845381739195137
09-24,0.01526794103026244,0.762744805605049,0.257510253721895
09-25,0.014701318820042747,0.7344379011751139,0.24795356046319528
09-26,0.013761324319847851,0.6874783326976185,0.23209954178689882
09-27,0.012768140635604597,0.6378615772577918,0.21534843029026696
09-28,0.012195410215570765,0.6092495232796599,0.2056887155006412
09-29,0.014230319465479433,0.7109080545229407,0.24000964955496962
09-30,0.012767531084405289,0.6378311257378323,0.21533814955341582
10-01,0.018330943268841663,0.9157640661852545,0.3091710822543006
10-02,0.01893720136540303,0.9460510716885916,0.3193962773842157
10-03,0.018289541827534922,0.9136957627880454,0.30847280239886893
10-04,0.01904053962237333,0.9512135699303745,0.32113918827959154
10-05,0.021248398501226402,1.0615121942187618,0.35837710391921074
10-06,0.020444707362165814,1.02136197092315,0.3448219880903429
10-07,0.020335418036447575,1.0159021734734195,0.34297870601720576
10-08,0.017935648227039233,0.8960162010855257,0.30250400603834005
10-09,0.021083430246765983,1.053270828933815,0.35559473680252096
10-10,0.02121053532465516,1.0596206529037817,0.3577385007057027
10-11,0.018848927759034146,0.9416411624155314,0.31790744803073956
10-12,0.013815791238640582,0.6901993518123847,0.23301818497853583
10-13,0.015300183913660758,0.7643555723601111,0.2580540646436276
10-14,0.01172482001920684,0.5857401170582321,0.19775170548570092
10-15,0.012520297349996897,0.6254800008339201,0.21116828660005976
10-16,0.01546516359156126,0.7725975083290529,0.26083662442892597
10-17,0.016248872719330336,0.8117494846909141,0.2740547221367942
10-18,0.019375356203093618,0.9679400956137433,0.3267862301748075
10-19,0.0185205896137121,0.9252382817435406,0.3123696719192868
10-20,0.01739979048494148,0.869246205804683,0.2934661886369676
10-21,0.02424033233344011,1.2109810705205315,0.40883928730892677
10-22,0.024497316146658635,1.223819282841924,0.41317359583246355
10-23,0.023176848256517977,1.1578522986770834,0.39090248404681033
10-24,0.020261830942592478,1.0122259624187464,0.3417375804999062
10-25,0.019492111629197947,0.9737728791312305,0.32875543606445173
10-26,0.02196013320663286,1.097068524207304,0.37038127554972855
10-27,0.023310995475254753,1.1645539288494184,0.3931650212327035
10-28,0.02041745806696974,1.0200006702522864,0.3443623994067231
10-29,0.02112432875897908,1.0553140073614553,0.35628453421763856
10-30,0.017822855528291093,0.8903813846482738,0.30060163580943755
10-31,0.0190233732829448,0.9503559863043695,0.3208496594942134
11-01,0.01599518430541347,0.7990759015552615,0.26977599406831715
11-02,0.01997808684574449,0.9980508791142638,0.3369519309989952
11-03,0.020169341176313776,1.0076054252643996,0.34017764107297893
11-04,0.014841093315046154,0.7414206547637348,0.2503110077182531
11-05,0.014812242963614277,0.7399793696781474,0.249824415498486
11-06,0.017059245407105572,0.8522334999867301,0.2877225294740556
11-07,0.020527372875580253,1.0254917151260232,0.34621623092185566
11-08,0.020928248292761065,1.0455183606012297,0.35297742617303535
11-09,0.021572240743304775,1.0776904717933986,0.3638390517848841
11-10,0.0185694623403213,0.9276798302328253,0.3131939630404191
11-11,0.026646943805019644,1.3312088337414156,0.4494293792819121
11-12,0.027813824652724906,1.3895030270175803,0.4691100803378185
11-13,0.023120378317820104,1.1550312141360004,0.38995005776923125
11-14,0.021560144492557515,1.0770861760074455,0.3636350355005118
11-15,0.015223099076127055,0.7605046235449956,0.2567539459156295
11-16,0.014493172305682655,0.72403946746894,0.24444294553365398
11-17,0.020303469958243243,1.014306134383989,0.342439867302279
11-18,0.02169471447239428,1.0838089261744406,0.36590470300724565
11-19,0.01593631248094861,0.7961348253343054,0.26878305740285785
11-20,0.01962776287559817,0.9805496464347287,0.3310433402952171
11-21,0.020349623440995404,1.0166118368464243,0.3432182954498662
11-22,0.01420438479408809,0.7096124288816305,0.23957223341634676
11-23,0.017245720978302594,0.8615493123166865,0.29086764062929926
11-24,0.015854331979349368,0.7920393024585111,0.2674003680326785
11-25,0.019083123594476926,0.953340949349752,0.32185741278931085
11-26,0.017767707703447457,0.8876263493192449,0.29967150840459966
11-27,0.021351378723245797,1.06665680600824,0.3601139761698953
11-28,0.022204376616639838,1.1092702606376998,0.3745007034644771
11-29,0.025156998052777865,1.2567751965598744,0.42429984099438806
11-30,0.022948495355183993,1.1464444088383612,0.3870510666589587
12-01,0.017017692367392326,0.8501576231454746,0.2870216927483789
12-02,0.01813270003182335,0.9058603732785071,0.30582749675301724
12-03,0.017904733772082924,0.8944717990021473,0.30198260049166586
12-04,0.018052361462594608,0.9018468768779441,0.3044725003389793
12-05,0.023182601138917326,1.1581396970341153,0.3909995125985549
12-06,0.022274463328329233,1.1127716021202916,0.37568279127015414
12-07,0.027119686571734688,1.3548257765226692,0.4574026947119816
12-08,0.03028905883950027,1.513158994438257,0.5108575682403622
12-09,0.026302742545001534,1.3140134750063281,0.4436240546724592
12-10,0.025597964375059793,1.2788046746080692,0.43173721249775954
12-11,0.024247838401234914,1.2113560532513175,0.4089658852187866
12-12,0.02055916475174141,1.027079950786241,0.34675243512125153
12-13,0.02186923889696358,1.0925276917255775,0.3688482452152244
12-14,0.02463023409659561,1.2304595020885893,0.41541540007735955
12-15,0.024548626913376517,1.2263826291836544,0.41403900712335057
12-16,0.02257274766764733,1.127673076389629,0.3807136776055693
12-17,0.021822954454855107,1.0902154468899057,0.3680676082971812
12-18,0.023991012418819003,1.1985257257275295,0.4046342386815613
12-19,0.02372990936403877,1.1854817273019074,0.4002304547167981
12-20,0.022307211060550877,1.1144075897493961,0.3762351170105076
12-21,0.021121645574277644,1.0551799627519405,0.35623927942055233
12-22,0.02303980959467167,1.1510062198716204,0.38859117956169303
12-23,0.025031137099646612,1.2504875256788377,0.42217706059392224
12-24,0.025327627171277543,1.2652993632148697,0.4271776846741681
12-25,0.01918789156888745,0.958574872386067,0.3236244374076866
12-26,0.0198598379376015,0.9921434852963442,0.33495753592778793
12-27,0.021019945997623822,1.0500993285216154,0.3545240066319277
12-28,0.022330489431039147,1.1155705138226346,0.37662773177623043
12-29,0.022335521068936208,1.1158218807660922,0.3767125957633876
12-30,0.01989342689411534,0.9938214982029858,0.3355240498209833
12-31,0.023689255138868864,1.1834507527904927,0.39954477746551587
