,0
01-01,1.4757999061131974
01-02,1.7781077580838098
01-03,1.7612570285019484
01-04,1.617996328260753
01-05,1.5357961888057332
01-06,1.9787183681964322
01-07,1.7449102562097558
01-08,1.5034864269609276
01-09,1.674355787608439
01-10,1.9318717556747078
01-11,2.0658204193798992
01-12,1.4790787337579407
01-13,1.561219834690746
01-14,1.705321051280675
01-15,1.6167553290722287
01-16,1.6718596293750698
01-17,1.9721240711926429
01-18,1.7510310484505631
01-19,1.9422671534450007
01-20,1.8080798556965314
01-21,1.4160981348768633
01-22,2.0242851812363405
01-23,2.410183690830153
01-24,2.2037899944034005
01-25,1.3360478870861041
01-26,1.481159227537189
01-27,1.3929463684679455
01-28,1.5059857961249197
01-29,1.5793374850393211
01-30,2.021735180099467
01-31,1.458310192590874
02-01,1.4798790224216005
02-02,1.5550014764444258
02-03,1.5796024759817575
02-04,1.660592496329371
02-05,1.9009680848806703
02-06,1.7998941795836605
02-07,1.7645213113476281
02-08,2.0396186553221614
02-09,1.757415328608279
02-10,1.8153963163726718
02-11,1.9327825662391933
02-12,1.649190625947322
02-13,1.3765186506276776
02-14,1.7437981528359505
02-15,1.7139326625823375
02-16,1.569369345058554
02-17,2.404483318972585
02-18,2.1114517672496507
02-19,1.8655744477336174
02-20,1.51991326333401
02-21,1.8994484937046512
02-22,1.741407581771543
02-23,1.5377380191501493
02-24,1.7389038704831123
02-25,1.6570085884953882
02-26,1.4634642149751511
02-27,1.468122481750366
02-28,1.9901717500997556
03-01,2.6105868467047735
03-02,1.9129414929200286
03-03,2.037685807747705
03-04,2.1646520086873258
03-05,1.7654395630457684
03-06,1.8184036119306837
03-07,1.8622606042407237
03-08,1.3057881190038512
03-09,1.7132425411930206
03-10,1.9847583615725255
03-11,1.9278410584152434
03-12,2.399768819518616
03-13,2.8061278136643883
03-14,1.8051607625208475
03-15,1.6572746810991583
03-16,1.6251677064814383
03-17,1.9695999751103226
03-18,1.923630843197987
03-19,1.6007582402118088
03-20,1.7424136568219422
03-21,1.5296018755510938
03-22,1.8170626396873668
03-23,2.0467739013736908
03-24,2.4603580149187096
03-25,2.4564928479127843
03-26,2.109277130552989
03-27,1.6035131453149827
03-28,2.2740934445815983
03-29,1.9511990000046484
03-30,1.965654755400339
03-31,1.8015561365418744
04-01,1.9848461845732166
04-02,1.8133083716795695
04-03,1.4276784731067613
04-04,1.6486736248470613
04-05,1.8393425632625626
04-06,1.6498459726767443
04-07,1.9957794848087285
04-08,2.3113515293160134
04-09,1.6944869258859854
04-10,1.7865128606764555
04-11,1.9094244066913695
04-12,1.5852080761397933
04-13,1.57270901813864
04-14,2.0510968537366288
04-15,1.8261079680368164
04-16,2.1610679843334957
04-17,2.047635849499893
04-18,2.3324161718958214
04-19,1.3789627979454644
04-20,2.1559291785870043
04-21,1.5945927477852009
04-22,2.0356415642634893
04-23,2.2925157575537662
04-24,1.8552112940700052
04-25,1.7708115929726926
04-26,1.5891743622486036
04-27,2.1079535707626884
04-28,1.8415938841133983
04-29,1.9021749771304153
04-30,1.986054594193723
05-01,1.9064033964895803
05-02,1.7305118809842153
05-03,1.7577126285970672
05-04,1.6432592167525393
05-05,1.9178990066201291
05-06,2.235889792319138
05-07,1.7914076860768091
05-08,1.442756808790206
05-09,1.5990717537723367
05-10,1.7927642120499494
05-11,1.7403454827498175
05-12,2.098605085716105
05-13,2.5660970392532274
05-14,2.0854683368930984
05-15,1.7197267206264513
05-16,1.8128500894986763
05-17,1.7532031646507207
05-18,2.865563437073275
05-19,2.536398581277217
05-20,2.1138239409727357
05-21,2.3871348753884662
05-22,2.169102633786042
05-23,2.245875845252154
05-24,2.1276370003620886
05-25,2.002904416121674
05-26,1.7438774627351523
05-27,1.4805378417832455
05-28,2.4485915141413863
05-29,2.122313449558968
05-30,1.9175806976123044
05-31,2.4727714291969174
06-01,2.3751975585515956
06-02,2.9380728416970574
06-03,2.7850070354688854
06-04,1.8046834671266956
06-05,1.6523808077951072
06-06,2.4962549231170117
06-07,2.1615405765864546
06-08,1.8592016118538863
06-09,1.78143409528957
06-10,2.2714665082056427
06-11,1.9622356915295665
06-12,1.9722331033234048
06-13,1.7571039287567536
06-14,2.5091440137125476
06-15,2.0614001556406505
06-16,1.5578846171228726
06-17,1.6370294952436335
06-18,2.1191061719196607
06-19,1.83256100380994
06-20,2.466638595544391
06-21,2.130231253870391
06-22,2.0967837549568413
06-23,2.19604416517367
06-24,2.3686000797121625
06-25,2.2690087449271186
06-26,1.7205128984455162
06-27,1.543465074429137
06-28,1.5681176302261874
06-29,2.014773855345303
06-30,2.3478987463559964
07-01,2.0165939252789973
07-02,1.7800783173978207
07-03,1.6521442645849787
07-04,2.0036009645494723
07-05,1.830617304386398
07-06,1.6641247631917793
07-07,2.367148463220557
07-08,2.206959273151444
07-09,2.0241902179442803
07-10,1.5934534697675864
07-11,2.519100193733881
07-12,2.2810023838003897
07-13,1.3489300043788954
07-14,2.171579063746468
07-15,2.1334323721168054
07-16,2.22654426538557
07-17,2.1326343438117297
07-18,1.5235221795815121
07-19,1.7769929621469809
07-20,2.212601350384561
07-21,2.0248624959008894
07-22,2.9636831326108513
07-23,1.689935043261661
07-24,1.6310094049576216
07-25,2.2355707612378675
07-26,2.153815532921296
07-27,2.005296348325709
07-28,1.7650642943054837
07-29,2.056978433934717
07-30,1.3748139256275635
07-31,1.5467684099840742
08-01,1.618679997916271
08-02,1.9346269492943062
08-03,1.913958224413435
08-04,2.0769164406231244
08-05,1.6269841085010797
08-06,1.9155078145750577
08-07,2.337028259165535
08-08,2.895196511209048
08-09,1.9281637087904309
08-10,1.7644523267081953
08-11,1.8391622884479495
08-12,2.022378288331628
08-13,2.0313786976848647
08-14,1.5681273126514388
08-15,1.9298559089768512
08-16,1.852311867900381
08-17,1.7600659526228053
08-18,1.6677681265790631
08-19,1.586712656098003
08-20,2.3567178278596668
08-21,1.8573244392559822
08-22,2.548160570824413
08-23,1.6965603336324122
08-24,2.2396802382066383
08-25,1.9845664611884992
08-26,2.007893669408515
08-27,1.8801730562875936
08-28,1.7857518887497916
08-29,1.724569483533544
08-30,2.195217863614888
08-31,2.570829382124057
09-01,2.5266978170887366
09-02,1.973983377948163
09-03,1.929614524483295
09-04,2.4167162527342074
09-05,1.7817258875538522
09-06,1.9279578430674016
09-07,2.0409202443403993
09-08,1.9892826245429107
09-09,2.745145678048928
09-10,1.4471536025432412
09-11,1.42431024873888
09-12,1.8743153756615094
09-13,1.9466748152614706
09-14,1.869537594516102
09-15,2.177867613925129
09-16,1.992991190039519
09-17,1.677809969526854
09-18,2.876418978552089
09-19,2.847098043455621
09-20,1.5825994260655745
09-21,1.8936054408602032
09-22,1.6545880993827085
09-23,1.4069686742280987
09-24,1.5536807084930255
09-25,1.517866705185892
09-26,1.9065352072547936
09-27,1.7278860471450301
09-28,1.7083040885579497
09-29,1.5677533133703077
09-30,1.5940197317663105
10-01,1.5914845359209155
10-02,1.8856982201417356
10-03,1.6343527983559785
10-04,1.5859665935698215
10-05,1.647635856585864
10-06,1.6718581629127096
10-07,1.3209384946447158
10-08,1.9021446803205997
10-09,1.6252615551161185
10-10,1.5461671706791218
10-11,1.7386433013095937
10-12,2.4853670241693355
10-13,1.9044860087250481
10-14,1.7469460937159158
10-15,1.5534884687038832
10-16,1.5191753696932981
10-17,1.7437099810437917
10-18,1.859250089063761
10-19,1.943894588046661
10-20,1.6372030677258296
10-21,1.4992792195649696
10-22,1.2708744476201081
10-23,1.5751465371204125
10-24,1.6814207623689
10-25,1.3126971358416917
10-26,1.4257643860854343
10-27,1.3293955907307815
10-28,1.660927639492208
10-29,1.530485648108136
10-30,1.4238212102452512
10-31,1.4413849241155419
11-01,1.6949902232570366
11-02,1.703362987987524
11-03,1.7906952628099233
11-04,1.8957821314584429
11-05,1.4420725368550678
11-06,1.6555207559121845
11-07,1.553495383566163
11-08,1.5888287328834532
11-09,1.7114658067417952
11-10,1.6427188308412315
11-11,1.3356926213970592
11-12,1.3722046291119059
11-13,1.4758866623799498
11-14,1.5021403138514362
11-15,1.9278580181381002
11-16,2.120199621099454
11-17,2.0417412725645816
11-18,1.5382142129858059
11-19,1.7678511521583082
11-20,1.6825972774309503
11-21,1.4189650649041183
11-22,1.6983848645840496
11-23,1.5337924531422211
11-24,2.064942031053892
11-25,1.9033129422975918
11-26,2.173298526508665
11-27,1.5482021075244217
11-28,1.6815391360067744
11-29,1.474760978459683
11-30,1.5676289172977955
12-01,1.3913561401884302
12-02,1.4151338881488564
12-03,2.1475090147099576
12-04,1.782582029826089
12-05,1.3689753512495617
12-06,1.4814393446502772
12-07,1.3875332733929262
12-08,1.250624802258289
12-09,1.206532834209313
12-10,1.5364893606190577
12-11,1.4964908269650605
12-12,1.473266295920914
12-13,1.5767426665512023
12-14,1.3811142989261593
12-15,1.5265210446341817
12-16,1.5107652458926786
12-17,1.467124429371425
12-18,1.458758815536781
12-19,1.4924826262070983
12-20,1.5323925059345769
12-21,1.7171765183885823
12-22,1.5066996330632605
12-23,1.287994444152453
12-24,1.3965916312802413
12-25,1.939932365401094
12-26,1.7916758739322671
12-27,1.5062758259939701
12-28,1.6164992557464246
12-29,1.609181247687796
12-30,1.4720407744761528
12-31,1.427952484285272
